Taxon,TaxonGroup,Abundance,GridRef
Inachis io,insect - butterfly,1,SD42167983
Vanessa atalanta,insect - butterfly,1,SD42167983
Polygonia c-album,insect - butterfly,1,SD42167983
Pieris napi,insect - butterfly,1,SD42167983
Inachis io,insect - butterfly,1,SD42167982
Polygonia c-album,insect - butterfly,1,SD42167982
Aglais urticae,insect - butterfly,4,SD42167982
Inachis io,insect - butterfly,1,SD65511290
Vanessa atalanta,insect - butterfly,1,SD65901125
Pararge aegeria,insect - butterfly,1,SD65451137
Pararge aegeria,insect - butterfly,3,SD65521140
Pararge aegeria,insect - butterfly,1,SD65441137
Pararge aegeria,insect - butterfly,1,SD65641167
Pararge aegeria,insect - butterfly,1,SD64931255
Polygonia c-album,insect - butterfly,8,SJ434144
Vanessa atalanta,insect - butterfly,3,SJ434144
Pararge aegeria,insect - butterfly,2,SJ434144
Vanessa atalanta,insect - butterfly,1,SJ43221430
Vanessa atalanta,insect - butterfly,1,SD65901124
Aglais urticae,insect - butterfly,1,SD65891130
Aglais urticae,insect - butterfly,3,SJ432142
Inachis io,insect - butterfly,1,SJ432142
Aglais urticae,insect - butterfly,1,SD647093
Inachis io,insect - butterfly,1,SR97699453
Inachis io,insect - butterfly,1,SD65331213
Inachis io,insect - butterfly,2,SD65901124
Vanessa atalanta,insect - butterfly,1,SJ432142
Inachis io,insect - butterfly,1,SJ43191450
Polygonia c-album,insect - butterfly,1,SJ43431459
Inachis io,insect - butterfly,1,SD65080951
Aglais urticae,insect - butterfly,1,SK36323501
Aglais urticae,insect - butterfly,10,SK36363499
Polygonia c-album,insect - butterfly,1,SJ43341473
Anthocharis cardamines,insect - butterfly,1,SJ432142
Aglais urticae,insect - butterfly,2,SJ432142
Gonepteryx rhamni,insect - butterfly,1,SP34396834
Anthocharis cardamines,insect - butterfly,1,SJ43221446
Anthocharis cardamines,insect - butterfly,3,SJ43481440
Anthocharis cardamines,insect - butterfly,1,SJ43191431
Anthocharis cardamines,insect - butterfly,P,SJ43211454
Inachis io,insect - butterfly,1,SJ43211454
Anthocharis cardamines,insect - butterfly,1,SJ43441439
Anthocharis cardamines,insect - butterfly,1,SJ43231427
Callophrys rubi,insect - butterfly,2,SD66321259
Anthocharis cardamines,insect - butterfly,2,SJ432142
Aglais urticae,insect - butterfly,1,SJ432142
Inachis io,insect - butterfly,1,SJ43281460
Aglais urticae,insect - butterfly,1,SJ43201452
Inachis io,insect - butterfly,1,SJ43211452
Aglais urticae,insect - butterfly,1,SJ44061482
Aglais urticae,insect - butterfly,1,SD65901128
Pieris napi,insect - butterfly,1,SD65801073
Pieris napi,insect - butterfly,1,SD65821072
Pieris napi,insect - butterfly,1,SD65321128
Pararge aegeria,insect - butterfly,1,SD65251141
Pieris napi,insect - butterfly,2,SD65361124
Pieris napi,insect - butterfly,1,SD65891125
Lasiommata megera,insect - butterfly,2,SD65411209
Aglais urticae,insect - butterfly,1,SD65361124
Coenonympha pamphilus,insect - butterfly,1,SD29660135
Ochlodes sylvanus,insect - butterfly,1,SD29700179
Coenonympha pamphilus,insect - butterfly,1,SD66051157
Coenonympha pamphilus,insect - butterfly,5,SD66051157
Inachis io,insect - butterfly,1,SD66251167
Pieris napi,insect - butterfly,1,SD66361176
Pieris napi,insect - butterfly,1,SD66541194
Pieris napi,insect - butterfly,1,SD66551266
Coenonympha pamphilus,insect - butterfly,1,SD66321276
Coenonympha pamphilus,insect - butterfly,1,SD66191302
Pararge aegeria,insect - butterfly,1,SD65271144
Pararge aegeria,insect - butterfly,1,SD65321132
Pieris napi,insect - butterfly,1,SD65741137
Pieris napi,insect - butterfly,1,SD64931263
Lasiommata megera,insect - butterfly,1,SD65111218
Pieris napi,insect - butterfly,6,SD66321276
Pieris napi,insect - butterfly,1,SD65521131
Aglais urticae,insect - butterfly,1,TQ68818949
Aglais urticae,insect - butterfly,1,SJ43231435
Maniola jurtina,insect - butterfly,1,SJ432142
Pararge aegeria,insect - butterfly,1,SD65311128
Ochlodes sylvanus,insect - butterfly,1,SD65331126
Pararge aegeria,insect - butterfly,1,SD65211136
Ochlodes sylvanus,insect - butterfly,1,SD65331126
Pararge aegeria,insect - butterfly,1,SD65721089
Maniola jurtina,insect - butterfly,2,SD63811370
Pararge aegeria,insect - butterfly,1,SD64061394
Aglais urticae,insect - butterfly,1,SD65341126
Pararge aegeria,insect - butterfly,1,SD65331129
Pararge aegeria,insect - butterfly,1,SD65421143
Aphantopus hyperantus,insect - butterfly,1,SJ43461542
Maniola jurtina,insect - butterfly,P,SJ43281441
Ochlodes sylvanus,insect - butterfly,1,SJ43271441
Maniola jurtina,insect - butterfly,1,SJ43391446
Aphantopus hyperantus,insect - butterfly,P,SJ43441444
Vanessa atalanta,insect - butterfly,1,SJ43301440
Pararge aegeria,insect - butterfly,1,SJ43191434
Vanessa atalanta,insect - butterfly,1,SJ43221428
Coenonympha pamphilus,insect - butterfly,1,SD82417416
Pieris napi,insect - butterfly,1,SD79527777
Pararge aegeria,insect - butterfly,1,SD65241141
Pararge aegeria,insect - butterfly,1,SD65321129
Maniola jurtina,insect - butterfly,1,SD65331126
Maniola jurtina,insect - butterfly,1,SD65421142
Aglais urticae,insect - butterfly,1,SD65351125
Ochlodes sylvanus,insect - butterfly,1,SD65351125
Vanessa atalanta,insect - butterfly,1,SD65891125
Maniola jurtina,insect - butterfly,1,SD65221203
Maniola jurtina,insect - butterfly,P,SJ43231424
Vanessa atalanta,insect - butterfly,1,SJ43261456
Aphantopus hyperantus,insect - butterfly,P,SJ43271462
Pararge aegeria,insect - butterfly,1,SD65321129
Pararge aegeria,insect - butterfly,1,SD63841301
Aphantopus hyperantus,insect - butterfly,P,SJ43231424
Aphantopus hyperantus,insect - butterfly,P,SJ43261456
Maniola jurtina,insect - butterfly,1,SD65231108
Maniola jurtina,insect - butterfly,1,SD65351098
Maniola jurtina,insect - butterfly,1,SD65351098
Maniola jurtina,insect - butterfly,1,SD65451091
Maniola jurtina,insect - butterfly,1,SD65501087
Ochlodes sylvanus,insect - butterfly,1,SD65681076
Maniola jurtina,insect - butterfly,1,SD65691077
Vanessa atalanta,insect - butterfly,1,SD65701080
Ochlodes sylvanus,insect - butterfly,1,SD65701082
Maniola jurtina,insect - butterfly,P,SJ43091415
Pyronia tithonus,insect - butterfly,1,SJ43241439
Aglais urticae,insect - butterfly,1,SJ43241444
Aglais urticae,insect - butterfly,1,SJ43291442
Maniola jurtina,insect - butterfly,6,SD65331127
Maniola jurtina,insect - butterfly,1,SD65261140
Maniola jurtina,insect - butterfly,1,SD65281105
Aglais urticae,insect - butterfly,1,SD65841164
Aglais urticae,insect - butterfly,1,SD65981189
Aglais urticae,insect - butterfly,2,SD66121212
Maniola jurtina,insect - butterfly,1,SD66141214
Maniola jurtina,insect - butterfly,1,SD66691280
Ochlodes sylvanus,insect - butterfly,2,SD66691281
Ochlodes sylvanus,insect - butterfly,1,SD66781275
Maniola jurtina,insect - butterfly,1,SD66821259
Maniola jurtina,insect - butterfly,1,SD66151218
Vanessa atalanta,insect - butterfly,1,SJ43241428
Aphantopus hyperantus,insect - butterfly,1,SJ43401445
Pyronia tithonus,insect - butterfly,1,SJ43401544
Thymelicus sylvestris,insect - butterfly,1,SD66691280
Maniola jurtina,insect - butterfly,10,SJ43401445
Pyronia tithonus,insect - butterfly,1,SD65111200
Pararge aegeria,insect - butterfly,1,SD65061211
Pyronia tithonus,insect - butterfly,2,SD65081191
Maniola jurtina,insect - butterfly,1,SD65421143
Maniola jurtina,insect - butterfly,1,SD65081191
Pyronia tithonus,insect - butterfly,P,SD66041200
Aglais urticae,insect - butterfly,1,SD66111211
Aglais urticae,insect - butterfly,1,SD66421271
Aglais urticae,insect - butterfly,1,SD66481269
Pieris napi,insect - butterfly,1,SD66691260
Inachis io,insect - butterfly,1,SD66511268
Aglais urticae,insect - butterfly,2,SD66171221
Aglais urticae,insect - butterfly,2,SD66091210
Pyronia tithonus,insect - butterfly,2,SD66071207
Thymelicus sylvestris,insect - butterfly,3,SD66051199
Aglais urticae,insect - butterfly,1,SD65831167
Aglais urticae,insect - butterfly,1,SD65831176
Maniola jurtina,insect - butterfly,1,SD66051199
Maniola jurtina,insect - butterfly,2,SD66081205
Maniola jurtina,insect - butterfly,1,SD66091208
Aglais urticae,insect - butterfly,2,SD66171222
Coenonympha pamphilus,insect - butterfly,3,SD66241234
Vanessa cardui,insect - butterfly,2,SD66241234
Coenonympha pamphilus,insect - butterfly,1,SD66261246
Maniola jurtina,insect - butterfly,1,SD66261276
Pieris napi,insect - butterfly,1,SD66331285
Pieris napi,insect - butterfly,1,SD66691282
Maniola jurtina,insect - butterfly,1,SD66761256
Maniola jurtina,insect - butterfly,1,SD66661263
Maniola jurtina,insect - butterfly,P,SD66041200
Aglais urticae,insect - butterfly,1,SD661121
Maniola jurtina,insect - butterfly,1,SD661121
Pyronia tithonus,insect - butterfly,4,SD66051199
Thymelicus sylvestris,insect - butterfly,2,SD66051199
Pyronia tithonus,insect - butterfly,10,SD66081205
Aglais urticae,insect - butterfly,2,SD66091208
Aglais urticae,insect - butterfly,1,SD66761256
Maniola jurtina,insect - butterfly,1,SJ432142
Gonepteryx rhamni,insect - butterfly,1,SJ432142
Polygonia c-album,insect - butterfly,1,SJ432142
Vanessa atalanta,insect - butterfly,1,SJ432142
Pieris brassicae,insect - butterfly,1,SJ432142
Pyronia tithonus,insect - butterfly,1,SD64991074
Maniola jurtina,insect - butterfly,1,SD65211203
Pieris rapae,insect - butterfly,1,SD32342802
Maniola jurtina,insect - butterfly,1,SD34242792
Hipparchia semele,insect - butterfly,1,SD33502735
Maniola jurtina,insect - butterfly,1,SD33452738
Hipparchia semele,insect - butterfly,1,SD33452743
Pyronia tithonus,insect - butterfly,1,SD33382739
Polyommatus icarus,insect - butterfly,1,SD33372741
Pieris napi,insect - butterfly,P,SJ43391436
Maniola jurtina,insect - butterfly,1,SJ43291430
Pyronia tithonus,insect - butterfly,1,SJ432142
Maniola jurtina,insect - butterfly,1,SJ43171431
Vanessa atalanta,insect - butterfly,1,SD65901126
Pararge aegeria,insect - butterfly,1,SD65291139
Pararge aegeria,insect - butterfly,1,SJ55080606
Aglais urticae,insect - butterfly,1,SJ54900583
Maniola jurtina,insect - butterfly,1,SJ54900590
Pieris rapae,insect - butterfly,1,SJ54780597
Pararge aegeria,insect - butterfly,2,SD65391143
Pararge aegeria,insect - butterfly,1,SJ43251442
Vanessa atalanta,insect - butterfly,1,SP00480116
Pieris rapae,insect - butterfly,1,SP00430080
Gonepteryx rhamni,insect - butterfly,3,SP00480117
Aglais urticae,insect - butterfly,20,SP00480117
Inachis io,insect - butterfly,1,SP00480116
Pararge aegeria,insect - butterfly,12,SJ43221437
Pararge aegeria,insect - butterfly,1,SJ432142
Pararge aegeria,insect - butterfly,1,SD65451138
Vanessa atalanta,insect - butterfly,1,SD65271220
Pararge aegeria,insect - butterfly,1,TQ84271093
Vanessa atalanta,insect - butterfly,1,TQ84271093
Vanessa atalanta,insect - butterfly,1,TQ85491120
Pararge aegeria,insect - butterfly,1,SD65501141
Pararge aegeria,insect - butterfly,2,SD65511129
Pararge aegeria,insect - butterfly,4,SD65381142
Vanessa atalanta,insect - butterfly,1,SJ43181438
Vanessa atalanta,insect - butterfly,1,SO10389140
Inachis io,insect - butterfly,1,SO07668809
Vanessa atalanta,insect - butterfly,1,SO07658812
Aglais urticae,insect - butterfly,1,SO07658810
Pararge aegeria,insect - butterfly,2,SD65371142
Pararge aegeria,insect - butterfly,1,SJ43191439
Vanessa atalanta,insect - butterfly,1,SD65381143
Pieris brassicae,insect - butterfly,1,SO07658812
Vanessa atalanta,insect - butterfly,1,SJ43191439
Aeshna grandis,insect - dragonfly (Odonata),1,SD65141205
Enallagma cyathigerum,insect - dragonfly (Odonata),1,SD65361203
Aeshna grandis,insect - dragonfly (Odonata),1,SD66041051
Ischnura elegans,insect - dragonfly (Odonata),1,SD66911028
Libellula depressa,insect - dragonfly (Odonata),1,SD65481205
Enallagma cyathigerum,insect - dragonfly (Odonata),1,SD66831031
Aeshna grandis,insect - dragonfly (Odonata),1,SD65531179
Sympetrum striolatum,insect - dragonfly (Odonata),1,TQ93691874
Sympetrum striolatum,insect - dragonfly (Odonata),1,TQ91881743
Calopteryx splendens,insect - dragonfly (Odonata),1,SD72061060
Aeshna grandis,insect - dragonfly (Odonata),P,SD72071056
Calopteryx splendens,insect - dragonfly (Odonata),1,SD72021056
Calopteryx splendens,insect - dragonfly (Odonata),1,SD720106
Anax imperator,insect - dragonfly (Odonata),1,SJ548941
Sympetrum striolatum,insect - dragonfly (Odonata),1,SJ543939
Ischnura elegans,insect - dragonfly (Odonata),1,SJ543939
Libellula quadrimaculata,insect - dragonfly (Odonata),1,SD63481011
Pyrrhosoma nymphula,insect - dragonfly (Odonata),P,SD6310
Pyrrhosoma nymphula,insect - dragonfly (Odonata),1,SD658112
Coenagrion puella,insect - dragonfly (Odonata),1,SD658112
Pyrrhosoma nymphula,insect - dragonfly (Odonata),1,SD658112
Aeshna grandis,insect - dragonfly (Odonata),P,SD720105
Aeshna cyanea,insect - dragonfly (Odonata),2,SD568112
Ischnura elegans,insect - dragonfly (Odonata),1,SJ460921
Coenagrion puella,insect - dragonfly (Odonata),1,SJ460921
Coenagrion puella,insect - dragonfly (Odonata),1,SJ45889205
Coenagrion puella,insect - dragonfly (Odonata),1,SJ460921
Coenagrion puella,insect - dragonfly (Odonata),1,SJ696976
Calopteryx splendens,insect - dragonfly (Odonata),2,SJ697972
Sympetrum danae,insect - dragonfly (Odonata),1,SD527603
Ischnura elegans,insect - dragonfly (Odonata),P,SJ471891
Ischnura elegans,insect - dragonfly (Odonata),1,SJ697972
Ischnura elegans,insect - dragonfly (Odonata),P,SJ45889205
Ischnura elegans,insect - dragonfly (Odonata),P,SD38280115
Ischnura elegans,insect - dragonfly (Odonata),1,SJ460921
Ischnura elegans,insect - dragonfly (Odonata),1,SJ538941
Ischnura elegans,insect - dragonfly (Odonata),P,SJ440856
Ischnura elegans,insect - dragonfly (Odonata),1,SJ697977
Libellula depressa,insect - dragonfly (Odonata),P,SJ471891
Libellula depressa,insect - dragonfly (Odonata),1,SJ697972
Aeshna grandis,insect - dragonfly (Odonata),1,SJ575945
Enallagma cyathigerum,insect - dragonfly (Odonata),1,SJ538941
Sympetrum striolatum,insect - dragonfly (Odonata),1,SJ538941
Anax imperator,insect - dragonfly (Odonata),1,SJ697972
Anax imperator,insect - dragonfly (Odonata),1,SJ538941
Anax imperator,insect - dragonfly (Odonata),P,SJ545957
Libellula quadrimaculata,insect - dragonfly (Odonata),1,SJ697972
Libellula quadrimaculata,insect - dragonfly (Odonata),8,SJ697977
Pyrrhosoma nymphula,insect - dragonfly (Odonata),1,SJ696976
Aeshna cyanea,insect - dragonfly (Odonata),14,SD657112
Coenagrion puella,insect - dragonfly (Odonata),2,SJ696976
Coenagrion puella,insect - dragonfly (Odonata),P,SJ45889205
Coenagrion puella,insect - dragonfly (Odonata),P,SJ45889205
Calopteryx splendens,insect - dragonfly (Odonata),2,SJ697972
Sympetrum danae,insect - dragonfly (Odonata),P,SD527603
Ischnura elegans,insect - dragonfly (Odonata),P,SD38280115
Ischnura elegans,insect - dragonfly (Odonata),P,SD38280115
Ischnura elegans,insect - dragonfly (Odonata),P,SJ697977
Ischnura elegans,insect - dragonfly (Odonata),P,SJ697972
Ischnura elegans,insect - dragonfly (Odonata),P,SJ45889205
Ischnura elegans,insect - dragonfly (Odonata),P,SJ45889205
Libellula depressa,insect - dragonfly (Odonata),P,SJ697972
Anax imperator,insect - dragonfly (Odonata),P,SJ697972
Libellula quadrimaculata,insect - dragonfly (Odonata),8,SJ697977
Libellula quadrimaculata,insect - dragonfly (Odonata),P,SJ697972
Libellula quadrimaculata,insect - dragonfly (Odonata),6,SJ697972
Pyrrhosoma nymphula,insect - dragonfly (Odonata),2,SJ696976
Aeshna grandis,insect - dragonfly (Odonata),1,SD65131215
Anax imperator,insect - dragonfly (Odonata),1,SD65241203
Aeshna grandis,insect - dragonfly (Odonata),1,TG17912427
Aeshna grandis,insect - dragonfly (Odonata),1,TG17702395
Anax imperator,insect - dragonfly (Odonata),1,TG17792422
Anax imperator,insect - dragonfly (Odonata),1,SP62071204
Anax imperator,insect - dragonfly (Odonata),1,SD64981289
Aeshna grandis,insect - dragonfly (Odonata),1,SD64921286
Ischnura elegans,insect - dragonfly (Odonata),1,SD65541178
Enallagma cyathigerum,insect - dragonfly (Odonata),1,SD65541178
Sympetrum striolatum,insect - dragonfly (Odonata),1,SD65191202
Sympetrum striolatum,insect - dragonfly (Odonata),1,TQ82062507
Anax imperator,insect - dragonfly (Odonata),1,TQ81892495
Sympetrum striolatum,insect - dragonfly (Odonata),1,TQ81882495
Calopteryx splendens,insect - dragonfly (Odonata),1,SJ43481541
Lestes sponsa,insect - dragonfly (Odonata),1,SJ43481542
Calopteryx splendens,insect - dragonfly (Odonata),1,SJ43191453
Calopteryx splendens,insect - dragonfly (Odonata),1,SJ43241442
Calopteryx splendens,insect - dragonfly (Odonata),P,SJ42991516
Aeshna grandis,insect - dragonfly (Odonata),1,SJ43101480
Anax imperator,insect - dragonfly (Odonata),1,SJ43211454
Aeshna grandis,insect - dragonfly (Odonata),1,SJ43271448
Anax imperator,insect - dragonfly (Odonata),1,SJ43401459
Aeshna grandis,insect - dragonfly (Odonata),1,SJ43401459
Calopteryx splendens,insect - dragonfly (Odonata),1,SJ43461542
Aeshna grandis,insect - dragonfly (Odonata),1,SO67946976
Ischnura elegans,insect - dragonfly (Odonata),P,SJ43411459
Calopteryx virgo,insect - dragonfly (Odonata),1,SJ43211452
Enallagma cyathigerum,insect - dragonfly (Odonata),1,SD65541191
Pyrrhosoma nymphula,insect - dragonfly (Odonata),1,SD65231143
Calopteryx splendens,insect - dragonfly (Odonata),1,SJ43411445
Calopteryx splendens,insect - dragonfly (Odonata),2,SJ43191438
Ischnura elegans,insect - dragonfly (Odonata),1,SD66691280
Anax imperator,insect - dragonfly (Odonata),1,SD66311257
Aeshna grandis,insect - dragonfly (Odonata),1,SJ432142
