Taxon,TaxonGroup,Abundance,GridRef
Lasiommata megera,insect - butterfly,1,SD66151219
Pararge aegeria,insect - butterfly,1,SD65731092
Pararge aegeria,insect - butterfly,1,SJ41669025
Pararge aegeria,insect - butterfly,1,SP33096829
Satyrium w-album,insect - butterfly,1,SJ41799009
Aglais urticae,insect - butterfly,1,SJ41699018
Aglais urticae,insect - butterfly,1,SD65521044
Aglais urticae,insect - butterfly,2,SD58841346
Inachis io,insect - butterfly,1,SJ62169634
Aglais urticae,insect - butterfly,1,SD65861130
Inachis io,insect - butterfly,1,SD65871128
Inachis io,insect - butterfly,2,SD66051046
Polygonia c-album,insect - butterfly,1,SD66051046
Anthocharis cardamines,insect - butterfly,1,SD66051046
Aglais urticae,insect - butterfly,2,SD66051044
Pararge aegeria,insect - butterfly,1,SD66061046
Inachis io,insect - butterfly,1,SD66421002
Aglais urticae,insect - butterfly,1,SD66541042
Aglais urticae,insect - butterfly,1,SD66541046
Inachis io,insect - butterfly,2,SD66421075
Aglais urticae,insect - butterfly,1,SD66431075
Aglais urticae,insect - butterfly,1,SD66151094
Aglais urticae,insect - butterfly,1,SD31131556
Anthocharis cardamines,insect - butterfly,1,SD31161549
Inachis io,insect - butterfly,1,SD66201228
Inachis io,insect - butterfly,1,SD66211231
Aglais urticae,insect - butterfly,1,SD66251234
Aglais urticae,insect - butterfly,1,SD66251237
Inachis io,insect - butterfly,1,SD66241249
Aglais urticae,insect - butterfly,2,SD61951645
Aglais urticae,insect - butterfly,1,SD61901651
Inachis io,insect - butterfly,1,SD61621664
Inachis io,insect - butterfly,1,SD61691713
Aglais urticae,insect - butterfly,1,SD61911650
Aglais urticae,insect - butterfly,1,SD62011627
Inachis io,insect - butterfly,2,SD658112
Anthocharis cardamines,insect - butterfly,1,SD63211208
Inachis io,insect - butterfly,1,SD63211208
Aglais urticae,insect - butterfly,1,SD63221196
Aglais urticae,insect - butterfly,2,SD63211191
Aglais urticae,insect - butterfly,1,SD63211183
Pieris napi,insect - butterfly,1,SD63141182
Inachis io,insect - butterfly,1,SD63141182
Aglais urticae,insect - butterfly,1,SD63081183
Aglais urticae,insect - butterfly,1,SD62991159
Aglais urticae,insect - butterfly,1,SD62991154
Inachis io,insect - butterfly,1,SD63111165
Aglais urticae,insect - butterfly,1,SD63201174
Aglais urticae,insect - butterfly,1,SD63091183
Inachis io,insect - butterfly,1,SD63301180
Anthocharis cardamines,insect - butterfly,1,SD53673526
Anthocharis cardamines,insect - butterfly,1,SD65981062
Inachis io,insect - butterfly,1,SD66041050
Pieris brassicae,insect - butterfly,1,SD66051048
Inachis io,insect - butterfly,1,SD66051047
Anthocharis cardamines,insect - butterfly,1,SD66051046
Pieris napi,insect - butterfly,1,SD66061045
Anthocharis cardamines,insect - butterfly,1,SD66061045
Anthocharis cardamines,insect - butterfly,1,SD66211035
Inachis io,insect - butterfly,1,SD66921026
Aglais urticae,insect - butterfly,1,SD66511064
Aglais urticae,insect - butterfly,1,SD66461077
Anthocharis cardamines,insect - butterfly,1,SD652114
Anthocharis cardamines,insect - butterfly,1,SD65081129
Aglais urticae,insect - butterfly,1,SD65101118
Aglais urticae,insect - butterfly,1,SD65241108
Pieris napi,insect - butterfly,1,SD65701082
Pararge aegeria,insect - butterfly,2,SD65701082
Pararge aegeria,insect - butterfly,1,SD65721092
Anthocharis cardamines,insect - butterfly,1,SD61411224
Pieris napi,insect - butterfly,1,SD61291222
Callophrys rubi,insect - butterfly,5,SD66421262
Callophrys rubi,insect - butterfly,4,SD66441262
Callophrys rubi,insect - butterfly,1,SD66471261
Callophrys rubi,insect - butterfly,1,SD66501260
Callophrys rubi,insect - butterfly,2,SD66531259
Callophrys rubi,insect - butterfly,1,SD66561258
Callophrys rubi,insect - butterfly,1,SD66591257
Callophrys rubi,insect - butterfly,1,SD66601257
Callophrys rubi,insect - butterfly,1,SD66621256
Callophrys rubi,insect - butterfly,2,SD66641255
Callophrys rubi,insect - butterfly,1,SD66651255
Callophrys rubi,insect - butterfly,1,SD66661255
Callophrys rubi,insect - butterfly,1,SD66701254
Callophrys rubi,insect - butterfly,3,SD66711254
